,0,big,small
0,東京,,
1,有楽町,,
2,新橋,,
3,浜松町,,
4,田町,,
5,高輪ゲートウェイ,,
6,品川,,
7,大崎,,
8,五反田,,
9,目黒,,
10,恵比寿,,
11,渋谷,,
12,原宿,,
13,代々木,,
14,新宿,,
15,新大久保,,
16,高田馬場,,
17,目白,,
18,池袋,,
19,大塚,,
20,巣鴨,,
21,駒込,,
22,田端,,
23,西日暮里,,
24,日暮里,,
25,鶯谷,,
26,上野,,
27,御徒町,,
28,秋葉原,,
29,神田,,
